"Year","Selected Solo Exhibition","Gallery/Museum"
"2016-2017","Noir c'est noir? Les Outrenoirs de Pierre Soulages","ArtLab EPFL"
"2016","Pierre Soulages: Le Noir","Museum Folkwang, Essen"
"2014","Pierre Soulages: Les Outrenoir(s)","Musée Soulages, Rodez"
"2014","Inauguration of Musée Soulages, Rodez","Musée Soulages, Rodez"
"2014","Pierre Soulages","Dominique Lévy Gallery with Galerie Perrotin, New York"
"2013","Soulages Xxle Siècle","Villa Médicis, Rome; also seen in: Musée des Beaux-Arts de Lyon, Lyon"
"2010","Pierre Soulages, New Paintings","Bernard Jacobson Gallery, London"
"2009","Pierre Soulages en Son Musée","L'Expérience RCR Arquitectes, Cité de L'Architecture et Du Patrimoine, Paris"
"2009","Pierre Soulages. Einzelausstellung Zum 90. Geburtstag","Galerie Boisserée, Köln"
"2009","Rétrospective Pierre Soulages","Galerie Pacal Lansberg, Paris"
"2009","Soulages. Le Temps Du Papier","Musée D'Art Moderne et Contemporain, Strasbourg"
"2009","Soulages","Centre Georges Pompidou, Paris"
"2009","Pierre Soulages. Hommage Zum 90. Geburtstag","Galerie Rieder, Munich"
"2006","Pierre Soulages, Painting the Light","Sammlung Essl, Vienna"
"2005","Pierre Soulages: Outrenoir, Recent Paintings","Robert Miller Gallery, New York"
"2003","Soulages. L'Œurve Imprimé","Bibliothèque Nationale de France, Paris"
"2001","Pierre Soulages: Lumière Du Noir","Hermitage Museum, Saint Petersburg; also seen in: Tretyakov Gallery, Moscow"
"2000","Soulages: 82 Peintures","Les Abattoirs, Toulouse"
"1999","Soulages, Œuvres Récentes, 1994-99","Musée Fabre, Montpellier"
"1997","Pierre Soulages: Rétrospective","Centro de Exposiciones y Congresos, Saragosse"
"1996","Pierre Soulages: Noir-Lumière","Musée d'Art Moderne, Paris; also seen in: Musée des Beaux-Arts, Monréal; Museu de Arte, Sao-Paulo"
"1993","Pierre Soulages: une rétrospective","National museum of Modern and Contemporary Art, Seoul; also seen in: Fine Arts Museum, Beijing; Taipei Fine Arts Museum, Taipei"
"1992","Pierre Soulages: Polyptyques 1979-1991","Maison des Arts Georges Pompidou, Cajarc"
"1991","Pierre Soulages","Museum Moderner Kunst Stiftung Ludwig, Vienna"
"1989","Pierre Soulages","Tolarno Galleries, Melbourne"
"1986","Peintures 1984-1986","FIAC, Paris; also seen in: Galerie de France, Paris"
"1982","Pierre Soulages: Œuvres Sur Papier","Galerie Ponce, Mexico City; also seen in: Oberhessisches Museum, Glessen; Galerie Ostertag, Francfort"
"1979","Pierre Soulages: Peintures Récentes","Centre Georges Pompidou, Paris"
"1975","Pierre Soulages: Rétrospective","Museu de Arte Moderno, Mexico City; also seen in: Musée Fabre, Montpellier; Salas del Patrimonio Artistico y Cultural, Madrid; Fundaçao Calouste Gulbenkian, Lisbonne"
"1973","Pierre Soulages: Peintures 1964-1972","Palais des Beaux-Arts, Charleroi; also seen in Rädhus Gentofte, Copenhagen; nordjyllands Kunstmuseum, Aalborg; S.Henie-N.Onstad Artsenter, Hovikodden"
"1968","Soulages","Musée D'Art Contemporain, Montréal, also seen in: Musée Du Québec, Québec"
"1968","Pierre Soulages: Paintings Since 1963","Knoedler Gallery, New York; also seen in: Museum of Art, Pittsburgh; Albright-Knox Art Gallery, Buffalo"
"1967","Pierre Soulages: Rétrospective","Musée National D'Art Moderne, Paris"
"1966","Pierre Soulages","Museum of Fine Arts, Houston"
"1963","Pierre Soulages: Rétrospective","NY Carlsberg Glyptotek, Copenhagen"
"1962","Pierre Soulages: Rétrospective","Massachusetts Institute of Technology, Boston"
"1960","Pierre Soulages: Rétrospective","Kestner Gesellschaft, Hanover; also seen in: Folkwang Museum, Essen; Gemeente Museum, The Hague; Kunsthaus, Zurich"
"1954","Pierre Soulages","Kootz Gallery, New York"
"Year","Publication Title/Publisher/Gallery","Editor/Contributors"
"2014","Soulages in America. (Dominique Lévy Gallery, New York)","Texts by Philippe Ungar, Harry Cooper, Sean Sweeney, Dominique Lévy"
"2011","Soulages l'oeuvre imprimé. (Bibliothèque Nationale de France/ Musée Soulages, Paris)","Edited by Pierre Encrevé, Marie-Cécile Miessner"
"2011","Pierre Soulages.  (Martin-Gropius Bau, Berlin/Hirmer, Munich)","Essays by Hans Belting, Yve-Alain Bois, Pierre Encrevé, Alfred Pacquement, Serge Guilbaut, Bernard de Montferrand, Alain Seban, Joachim Sartorius, Gereon Sievernich, Hans-Ulrich Obrist; edited by Pierre Encrevé, Alfred Paquement"
"2010","Verre cartons des vitraux de Conques. (Musée Fabre, Montpellier)","Essays by Pierre Soulages, Jean-Dominique Fleury, Benoît Decron"
"2010","Pierre Soulages. (Bernard Jacobson Gallery, London)","Essays by John Yau and Mel Gooding"
"2009","Soulages, le temps du papier. (Cercle d'Art, Paris/ Musée d’Art Moderne, Contemporain de Strasbourg (MAMCS), Strasbourg)","Text by Michel Ragon, Estelle Pietrzyk, Gilbert Dupuis"
"2009","SOULAGES. (Centre Georges Pompidou, Paris)","Essays by Alain Seban, Alfred Pacquement, Pierre Encrevé, Serge Guilbaut, Yve-Alain Bois, Guitermie Maldonado, Annie Claustres, Harry Cooper, Hans Belting, Isabelle Ewig, Éric de Chassey, Hans Ulrich Obrist; Edited by Pierre Encrevé, Alfred Pacquement"
"2007","Pierre Soulages au Musée Fabre, Parcours d'un accrochage.  (Interprint, Montpellier)","Photos by Vincent Cunillère; Essays by Georges Frêche, Michel Hilaire, Emmanuel Nebout, Laurence Javal, Olivier Brochet, Yves Larbiou, Dan McEnroe, Thierry Dieudonnat, Pierre Susini, Claude Cougnenc, Pierre Encrevé"
"2006","Pierre Soulages. Painting the light. (Sammlung Essl, Klosterneuburg-Vienna)","Essays by Karlheinz Essl, Andrea Rygg Karberg"
"2001","Soulages - Lumière du noir. (Paris-Musées, Paris)","Essays by Mikhaïl Piotrovsky, Suzanne Pagé, Albert Kosténévitch, Pierre Encrevé, JeanClaude Marcadé; Preface by Vladimir Yakovlev, Bertrand Delanoë, maire de Paris"
"1999","Pierre Soulages, Célébration de la lumière. (Skira-Le Seuil, Paris/Musée des Beaux-Arts, Berne)","Essays by Sandor Kuthy, Pierre Soulages"
"1998","Soulages, L'oeuvre complet, Peintures III, 1979-1997. (Seuil, Paris)","Text by Pierre Encrevé"
"1997","Pierre Soulages, Malerei als farbe und licht, Rétrospective 1946-1997. (Deichtorhallen, Hamburg)","Essays by Zdenek Felix, Robert Fleck, Charles Juliet"
"1996","Soulages, Noir lumière. (Musée d'Art Moderne, Paris)","Essays by Suzanne Pagé, Jean-Louis Andral, Pierre Encrevé, Robert Fleck, Donald Kuspit, William Rubin"
"1996","Soulages. (Flammarion, Paris: pp. 87–149)","Interview with the artist by Bernard Ceysson"
"1994","Pierre Soulages: une retrospective (Taipei Fine Arts Museum, Taipei/National Museum of China, Beijing)","Essays by Huang Kuang-nan, Alfred Pacquement, Jean-Paul Réau, François Marcel Plaisant"
"1994","Les vitraux de Soulages (Seuil, Paris)","Georges Duby, Christian Heck"
"1993","Pierre Soulages: une retrospective (Musée National d'Art Contemporain, Séoul)","Essays by Young-Bang Lim, Alfred Pacquement, Bernard Prague"
"1992","Pierre Soulages, polyptyques 1979-1991 (Maison des Arts Georges Pompidou, Cajarc)","Essays by Pierre Daix, Pierre Encrevé, Claire Stoullig"
"1991","Soulages, peintures récentes (Museum Moderner Kunst Stiftung Ludwig, Vienna)","Essays by Lorand Hegyi, Alfred Pacquement"
"1990","Polyptyques (Le Louvre, Paris)","Text by Isabelle Monod-Fontaine"
"1989","Soulages: 40 jahre malerei (German ed. Museum Fridericianum, Kassel/Cantz Verlag, Stuttgart)","Text by Veit Loers, Bernard Ceysson"
"1989","Soulages: 40 ans de peinture (French ed. Musée des Beaux-Arts, Nantes)","Essays by Henry-Claude Cousseau, Veit Loers"
"1989","Soulages: 40 anos de pintura (Spanish ed. Institut Valencià d'Art Modern, Valencia)","Essays by Bernard Ceysson, Veit Loers"
"1987","Nous avons visité le Musée d'Orsay avec Pierre Soulages (L'Evénement du Jeudi, Paris: pp. 82–84)","Interview with the artist by Jean-Louis Pradel"
"1987","Pierre Soulages (Musée Saint-Pierre Art Contemporain, Lyon/Hans Thoma-Gesellschaft, Reutlingen)","Essays by Georges Duby, Pierre Encrevé, Henri Meschonnic, Werner Meyer, Thierry Raspail, Clément Rosset"
"1984","Soulages (Seibu Museum of Art, Tokyo)","Essays by Taka Ashido Okada, d'Alfred Pacquement"
"1980","Soulages, peintures récentes (Musée National d'Art Moderne, Paris/Musée du Parc de la Boverie, Liège)","Essays by Pontus Hulten, Alfred Pacquement"
"1976","Soulages (Musée d'Art et d'Industrie, Saint-Etienne: p. 5-32, 42)","Interview with the artist by Bernard Ceysson"
"1975","L'aventure de l'art moderne (1): Pierre Soulages (Galerie Jardin des Arts, Paris: September, p. 150)","Interview with the artist by André Parinaud"
"1974","Soulages, peintures, gravures (1st ed. Musée Dynamique, Dakar/Fundaçào Calouste Gulbenkian, Lisbon)","Text by Léopold Sédar Senghor"
